ad_id,subject,price,price_string,price_million_per_m2,size,land_area,length,width,rooms,toilets,floors,direction,property_legal_document,furnishing,house_type,property_type,category_name,area_name,ward_name,region_name,address,street_name,date,latitude,longitude,image,number_of_images,account_name,is_seller_verified,url
177800816,Cần bán căn hộ chung cư Cây Mai  Tầng trệt mặt tiền Đường 10m ,4900000000,"4,9 tỷ",75.38461,65,,,,2,2,,,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Quận 11,Phường 16,Tp Hồ Chí Minh,,Nguyễn Thị Nhỏ,3 phút trước,10.75627,106.6511,https://cdn.chotot.com/JvIP5nZYNRntRaFIvbXR2ExOSwT0LQ1kPLiBvwe03as/preset:listing/plain/79c315f1a4d15d121f955f49fa5a1dd3-2995509872189607214.jpg,6,BĐS Trần Tiến ,False,https://www.nhatot.com/133859717.htm
178036669,CHÍNH CHỦ BÁN CHARM CITY – 70M² – 2PN – 2WC – VIEW LANDMARK 81,2400000000,"2,4 tỷ",34.285713,70,,,,2,2,,5,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Thành phố Dĩ An,Phường Dĩ An,Bình Dương,,Tỉnh lộ 743C,3 phút trước,10.90704,106.76897,https://cdn.chotot.com/k-CjbYSOjXKiXvzk8ITOxXhs987Ww63SVzQwHUOXXXM/preset:listing/plain/8ad45657b3a6ec94968597dc26be703f-2997025239351685730.jpg,6,Khởi Long,False,https://www.nhatot.com/134061111.htm
178041838,1 lô ngay khu cn  giá ngộp,250000000,250 triệu,1,250,,50,5,,,,3,,,,Đất,Đất,Huyện Chơn Thành,Xã Minh Hưng,Bình Phước,,ql 13,3 phút trước,11.482726,106.61734,https://cdn.chotot.com/LnCH2AdO8ScyknRDCMsItX0OWsq17pzCcAm4s2qNC14/preset:listing/plain/bef0fd1461bedf9868eba54468225f81-2997091468239324827.jpg,5,Hương,False,https://www.nhatot.com/134065334.htm
178093571,Nhà 1 trệt 1 lầu cao cấp Kdc Hồng Loan,5250000000,"5,25 tỷ",65.625,80,,16,5,3,3,2,8,,,,Nhà ở,Nhà ở,Quận Cái Răng,Phường Hưng Thạnh,Cần Thơ,,D4,3 phút trước,9.994971,105.7762,https://cdn.chotot.com/UGqc0fAoZDWqWCRcp4lLBBYWi2oocAchLNhOzbB_nR4/preset:listing/plain/4e003c8f6a556c840dda3f1357a4ebab-2997400048518769500.jpg,10,Nguyễn Thị Diệu Hiền,False,https://www.nhatot.com/134109536.htm
177879208,Bán kho xưởng mặt tiền đường Trần Văn Giàu,20000000000,20 tỷ,29.67359,674,,45,15,4,2,2,,,,,Nhà ở,Nhà ở,Huyện Bình Chánh,Xã Lê Minh Xuân,Tp Hồ Chí Minh,,Đường Trần Văn Giàu,3 phút trước,10.770582,106.55173,https://cdn.chotot.com/yJgYkgRVXSavTbUbMP2qVDUFztZ5TPkbYG5jJakgqOY/preset:listing/plain/cffb30849792a2fedaa4015d5231036b-2996012067147204068.jpg,3,TRẦN QUÝ HẬU,False,https://www.nhatot.com/133927446.htm
178126614,VINHOMES SAIGON PARK – CĂN LIỀN KỀ AS72-24,5235000000,"5,235 tỷ",104.7,50,,10,5,5,4,4,,,,,Nhà ở,Nhà ở,Huyện Hóc Môn,Xã Xuân Thới Sơn,Tp Hồ Chí Minh,,"Đường Xuân Thới Sơn 12, Xã Xuân Thới Đông, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",3 phút trước,10.909443,106.55386,https://cdn.chotot.com/mxBiwEICcenbX1HV6WCxgYkkaNug4y6MGUWOvL4cubw/preset:listing/plain/2ccf0f074c3c3a3791ce9b78fe164042-2997577190678747525.jpg,7,Thanh Trầm,False,https://www.nhatot.com/134137755.htm
173721191,"Bán căn hộ Bcons Polygon căn. 1PN 1,8 tỷ. 2PN 2,350 tỷ. Bao sang sổ",1800000000,"1,8 tỷ",40.909092,44,,,,2,2,,3,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Thành phố Dĩ An,Phường An Bình,Bình Dương,,Liêu Xá,3 phút trước,10.87574,106.75495,https://cdn.chotot.com/fZZkOXpDQAxd_luletj3JlIt4H5cGmwGIYyCboas0Lk/preset:listing/plain/65bada82844623e5d680fecb4dd0af12-2967548684958123115.jpg,7,Dương Thu,False,https://www.nhatot.com/130363001.htm
178126500,"Chỉ với 80tỷ ỡ hữu ngay kiệt tác ""quiet luxury"" tại trung tâm quận 2",80000000000,80 tỷ,198.0198,404,,24.5,16.5,5,4,3,,,,,Nhà ở,Nhà ở,Thành phố Thủ Đức,Phường Bình Trưng Tây (Quận 2 cũ),Tp Hồ Chí Minh,,Đường Lê Hữu Kiều,3 phút trước,10.781886,106.75011,https://cdn.chotot.com/andO2rCjnytbwtP4B-9Yk91okBKMuy5jhfguDU-5SuA/preset:listing/plain/d9a71658b28733e7720cd0496a637498-2997576344235628933.jpg,10,Lê thị thuý quyên,False,https://www.nhatot.com/134137744.htm
174760065,Đất cây hàng năm mặt tiền 15m đường nhựa,1600000000,"1,6 tỷ",2.259887,708,,47.5,15,,,,5,,,,Đất,Đất,Thị xã Kiến Tường,Xã Bình Hiệp,Long An,,Đường Liên Xã Bình Hiệp - Thạnh Trị,4 phút trước,10.824655,105.94061,https://cdn.chotot.com/G2jnFX-hJkuiG5mqgG7NYgd1o3audPVsB22x4bAd_lY/preset:listing/plain/190de56dd2e96a7ca26206c4cea8b6ae-2975871403134719685.jpg,7,Huỳnh Quốc Toàn,False,https://www.nhatot.com/131260890.htm
178064726,🔥NHỈNH 4 Tỷ - XE HƠI ĐẾN NHÀ - TÂN QUY Q7,4000000000,4 tỷ,125,32,,8,4,2,2,2,,,,,Nhà ở,Nhà ở,Quận 7,Phường Tân Quy,Tp Hồ Chí Minh,,Bế Văn Cấm ,5 phút trước,10.740958,106.7102,https://cdn.chotot.com/e2ipAboPxuxP6HYX2bUxklcPNQN8vczYhT1-CO_g_6E/preset:listing/plain/58ec90108c2c1b838f7a91c6cc06703e-2997185429577702345.jpg,4,Nguyễn Phú Quốc,False,https://www.nhatot.com/134084607.htm
178086064,"🔥 4.95 TỶ – NHÀ 3 TẦNG 4PN, SÂN RỘNG – HẺM XE HƠI NHỎ HUỲNH TẤN PHÁT",4950000000,"4,95 tỷ",128.57143,38.5,,11,3.5,4,3,3,,,,,Nhà ở,Nhà ở,Quận 7,Phường Tân Phú,Tp Hồ Chí Minh,,Đường Huỳnh Tấn Phát,5 phút trước,10.725961,106.73389,https://cdn.chotot.com/C8vHSVrDVJHY8ndZPaPdPzoDZLv3czVJLFNSLty4028/preset:listing/plain/590d59858d01ad15e025dfb429cc99e1-2997315769587927477.jpg,9,Trường Chuyên Nhà Phố Sài Gònn,False,https://www.nhatot.com/134102975.htm
178055075,Chính chủ bán căn nhà tâm huyết MT Bạch Đằng ngay Ngã tư Hàng Xanh,29000000000,29 tỷ,283.20312,102.4,,25,5.5,4,,2,5,,,,Nhà ở,Nhà ở,Quận Bình Thạnh,Phường 15,Tp Hồ Chí Minh,,Đường Bạch Đằng,5 phút trước,10.803144,106.70667,https://cdn.chotot.com/lEwPJ6dywxfk8ibzvoQn2mhqkc79odQFYMsFh9riQac/preset:listing/plain/bb3a76e2dc446b863e1effae358222d3-2997137492508602978.jpg,3,Saithanhreal,False,https://www.nhatot.com/134076381.htm
178068238,🔥 BÙI ĐÌNH TUÝ – BÌNH THẠNH – 56M² – 15 PHÒNG – DÒNG TIỀN 30TR/THÁNG 🔥,5700000000,"5,7 tỷ",101.78571,56,,13,4,11,7,3,,,,,Nhà ở,Nhà ở,Quận Bình Thạnh,Phường 12,Tp Hồ Chí Minh,,Đường Bùi Đình Tuý,5 phút trước,10.8081255,106.70639,https://cdn.chotot.com/zrkYu72Y0ba5nYDw0Ywc0nRc5mOtBuwPPF1-1mgrX_w/preset:listing/plain/4c15d4f5e93d85b68172e78d1777e08f-2997245285244361093.jpg,5,Trần Thái Hoà,False,https://www.nhatot.com/134087373.htm
174553027,Nhà Tân Bình 4.2x12m Ni Sư Huỳnh Liên Phường 10,5500000000,"5,5 tỷ",119.565216,46,,12,4.4,4,5,2,,,,,Nhà ở,Nhà ở,Quận Tân Bình,Phường 10,Tp Hồ Chí Minh,,Đường Ni Sư Huỳnh Liên,5 phút trước,10.785465,106.645584,https://cdn.chotot.com/zuoMmufluPp8-_NeTskNdjInoUW1hXWxRNNj4rS9Ye8/preset:listing/plain/c27edfb98a7f3bb86a83bedfb1d5a999-2994798371390346096.jpg,9,Phitran,False,https://www.nhatot.com/131083588.htm
178126554,🔥 KHU VIP TÂN KỲ TÂN QUÝ– 4x15M – 4 LẦU – DTS 254.4M² – CHỈ 9.5 TỶ,9500000000,"9,5 tỷ",166.66667,57,,15,4,4,,4,2,,,,Nhà ở,Nhà ở,Quận Tân Phú,Phường Tân Sơn Nhì,Tp Hồ Chí Minh,,Đường Tân Kỳ Tân Quý,5 phút trước,10.801903,106.625885,https://cdn.chotot.com/XXOowOVwCc5JoLGAkJIYWsohN1JCqE-osfpWwu3wMNc/preset:listing/plain/bf54d8b3276fe7a481507a59aac658d5-2997576956587604477.jpg,4,Nguyễn Minh Thiện,False,https://www.nhatot.com/134137708.htm
176532524,"ĐẤT NỀN MẶT TIỀN TỈNH LỘ 933C - LONG PHÚ, SÓC TRĂNG",6700000000,"6,7 tỷ",0.7882353,8500,,119,67,,,,1,,,,Đất,Đất,Huyện Long Phú,Thị trấn Long Phú,Sóc Trăng,,Đường ĐT. 933C,6 phút trước,9.5909,106.128876,https://cdn.chotot.com/uveyAGW2EyhtpVktvt0q86Mg2odzFFbRzWjOV7irVw8/preset:listing/plain/01e3667b0f317e0a75b913f04bf3efa5-2987250180225859516.jpg,3,Nhà Đất Sóc Trăng,False,https://www.nhatot.com/132776213.htm
178058346,"Bán căn hộ Habitat QL13 2pn 62m2 giá 2,43 tỷ",2430000000,"2,43 tỷ",39.19355,62,,,,2,2,,,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Thành phố Thuận An,Phường Bình Hòa,Bình Dương,,Hữu Nghị,6 phút trước,10.92473,106.72363,https://cdn.chotot.com/vowKXKLzmwD2ljEyavakarBVVKJWx77aDPr0ApzT8g8/preset:listing/plain/6ed6847be59b7001d2be78ed0a356abe-2997148567106024034.jpg,7,Mơ Nguyễn,False,https://www.nhatot.com/134082174.htm
177718003,NHANH MỚI KỊP DT 11 X 22M - NHÀ 3TẦNG + 10P TRỌ NGAY ĐẠI HỌC NGÂN HÀNG,16500000000,"16,5 tỷ",68.75,240,,22,11,11,,3,,,,,Nhà ở,Nhà ở,Thành phố Thủ Đức,Phường Linh Chiểu (Quận Thủ Đức cũ),Tp Hồ Chí Minh,,Đường Hoàng Diệu 2,6 phút trước,10.854226,106.76946,https://cdn.chotot.com/WGfgwG-tPadR8jxnYzZPRY8I3VWY4XWZvriRFOsGdzY/preset:listing/plain/17b0dd5e94ff082a145e283f3f4cc0fa-2994969771868560299.jpg,5,Nguyễn Năng Hương,False,https://www.nhatot.com/133789027.htm
174390674,Cần Bán (1PN-6tỷ5)(2PN-9tỷ)(3PN-15tỷ)(4PN-21tỷ) Vinhomes Central Park,9000000000,9 tỷ,105.882355,85,,,,2,2,,3,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Quận Bình Thạnh,Phường 22,Tp Hồ Chí Minh,,Nguyễn Hữu Cảnh,6 phút trước,10.79387,106.72032,https://cdn.chotot.com/0gqq8kmRvyNRSiiv2JFnP_rDr-xMwAi2LrPYe8qzJGE/preset:listing/plain/b6fdc12181a950c1d64076679957f1b8-2973586034435227042.jpg,4,Thành Phạm Vincentral,False,https://www.nhatot.com/130943633.htm
176781765,Bán đất lô góc 2 mặt tiền gần đường Hùng vương xã phước an.,390000000,390 triệu,3.9,100,,15,6.5,,,,5,,,,Đất,Đất,Huyện Nhơn Trạch,Xã Phước An,Đồng Nai,,Đường Hùng Vương,6 phút trước,10.664138,106.92092,https://cdn.chotot.com/kop5W6WG57909DFk90-yqFl4SuV57vMNDuti3aIyhWs/preset:listing/plain/e874fc90b683db8ddec56e803df96fac-2988870146855926535.jpg,3,Quyen Cao,False,https://www.nhatot.com/132990079.htm
177832062,Nha Dep hem xe hoi 891/18 hl2,6300000000,"6,3 tỷ",111.111115,56.7,,14.5,4,2,3,3,1,,,,Nhà ở,Nhà ở,Quận Bình Tân,Phường Bình Trị Đông,Tp Hồ Chí Minh,,891/18 Huong lo 2,6 phút trước,10.763908,106.614395,https://cdn.chotot.com/D5B3IsoNZ4c0_lxai6SMqpIFCmbZd-KKihc0kzK2jYo/preset:listing/plain/8698dc665dc504f0b1d642d15d4e8470-2995689062546688377.jpg,6,Gia Khang,False,https://www.nhatot.com/133886560.htm
178029387,Bán nhà mặt tiền thạnh Xuân 21/tx21,6700000000,"6,7 tỷ",111.666664,60,,,,,,,7,,,,"Văn phòng, Mặt bằng kinh doanh","Văn phòng, Mặt bằng kinh doanh",Quận 12,Phường Thạnh Xuân,Tp Hồ Chí Minh,,Đường Thạnh Xuân 21,7 phút trước,10.87865,106.67743,https://cdn.chotot.com/OfxYl4yBE75cBY_K68XmLjjBWUPel6wb80xNzSd31QM/preset:listing/plain/2b56ad010b4165fd8383895b1db83fc6-2996994989195862200.jpg,3,Linh,False,https://www.nhatot.com/134054843.htm
178110814,"Nhà ngay Âu Cơ - Lạc Long Quân 3x6m, 2 tầng 2PN. Giá 2.7 tỷ TL",2700000000,"2,7 tỷ",150,18,,6,3,2,2,2,,,,,Nhà ở,Nhà ở,Quận Tân Phú,Phường Phú Trung,Tp Hồ Chí Minh,,Đường Âu Cơ,7 phút trước,10.778265,106.645454,https://cdn.chotot.com/Ircqtbet2UcrmtzmOxx27Ndy7fC0Cs1RjozhY0UrsZ8/preset:listing/plain/55a8890d2bd37bd4ed8eefd94809bc10-2997473469081049692.jpg,4,Hồng,False,https://www.nhatot.com/134124461.htm
178041934,Gửi ACE 2% nhờ chạy phụ .Mua đất tặng nhà cấp 4.,1200000000,"1,2 tỷ",9.375,128,,,,1,,,,,,,Nhà ở,Nhà ở,Thành phố Phan Rang-Tháp Chàm,Phường Đô Vinh,Ninh Thuận,,Đường Minh Mạng,7 phút trước,11.636715,108.94428,https://cdn.chotot.com/XYr9CPtstIsfY7a5qgLPAnMMjacwY0WYxrR1Qu5Oi0w/preset:listing/plain/2cbd4fd7937e02517089f9a8e074658d-2997093760296044187.jpg,3,Nha dat SG,False,https://www.nhatot.com/134064897.htm
178107635,Chính Chủ gửi bán nhà 3 tầng MT Phú Lộc 21,6300000000,"6,3 tỷ",77.77778,81,,18,4.5,3,3,3,7,,,,Nhà ở,Nhà ở,Quận Liên Chiểu,Phường Hòa Minh,Đà Nẵng,,Đường Phú Lộc 22,7 phút trước,16.07851,108.16502,https://cdn.chotot.com/8RWCH3fTgwZ8pqGO5ZBAIOW-qJ3Ei-6pqO9rLRNjg3s/preset:listing/plain/fcd0a07766e1b44d7c940b5b69fcbc49-2997453515843164979.jpg,5,hoàng phúc,False,https://www.nhatot.com/134121753.htm
177987971,Nhà cấp 4 có 2 phòng ngủ phường Phú an,1380000000,"1,38 tỷ",13.269231,104,,27,4,2,1,,,,,,Nhà ở,Nhà ở,Thị xã Bến Cát,Xã Phú An,Bình Dương,,Nhánh Dt 744,7 phút trước,11.062709,106.587875,https://cdn.chotot.com/IbcS9-Ndb-KkM09bGE8ZDQWF4vO2hANjyv_DW5qusZk/preset:listing/plain/fc1365edbc417cbd02a83e4511fca23e-2996708806239078043.jpg,3,nguyễn ngân,False,https://www.nhatot.com/134020392.htm
